candidate,gene_1,gene_2,effect,pathway_relevance,uncertainty,priority,experiment_priority_0_10
ATL1_CLDN6,ATL1,CLDN6,0.6305404,0.5714285714285714,0.013974815607070923,0.3553429314506509,5.592191505485299
IKZF3_PTPN13,IKZF3,PTPN13,0.6264732,0.5714285714285714,0.007866108790040016,0.35519071031730026,5.589795933057831
IKZF3_MAP4K3,IKZF3,MAP4K3,0.6263518,0.5714285714285714,0.007916429080069065,0.3551041425190583,5.588433576688447
MAP4K3_PRDM1,MAP4K3,PRDM1,0.49903467,0.7142857142857143,0.00497864093631506,0.354687476250811,5.58187631225546
FOXF1_PRDM1,FOXF1,PRDM1,0.49884006,0.7142857142857143,0.00493762968108058,0.3545636274026113,5.579927247238072
EGR1_PRDM1,EGR1,PRDM1,0.5024645,0.7142857142857143,0.013624290004372597,0.3540791185807688,5.572302314031214
ATL1_TP73,ATL1,TP73,0.8381947,0.42857142857142855,0.01609186641871929,0.3535372379490146,5.563774494852394
FOXO4_IKZF3,FOXO4,IKZF3,0.62338656,0.5714285714285714,0.007915964350104332,0.35342320699043556,5.561979938378948
IKZF3_MIDN,IKZF3,MIDN,0.62802154,0.5714285714285714,0.017366208136081696,0.3527436311162712,5.5512851472505025
KIF2C_PRDM1,KIF2C,PRDM1,0.49806613,0.7142857142857143,0.01050163060426712,0.352064270581579,5.540593745016165
IKZF3_TBX3,IKZF3,TBX3,0.63173044,0.5714285714285714,0.02545948326587677,0.3520264107875492,5.539997928412444
ELMSAN1_TP73,ELMSAN1,TP73,0.6188251,0.5714285714285714,0.012132384814321995,0.3493755714146222,5.498280477151571
HES7_IKZF3,HES7,IKZF3,0.62759244,0.5714285714285714,0.027118900790810585,0.3491555395174699,5.494817736240509
IKZF3_MAP7D1,IKZF3,MAP7D1,0.61564845,0.5714285714285714,0.007943402975797653,0.3490266540474664,5.492789407640889
PRDM1_STIL,PRDM1,STIL,0.49105465,0.7142857142857143,0.0071365488693118095,0.34826789353063414,5.48084845218244
ATL1_CNN1,ATL1,CNN1,0.61645204,0.5714285714285714,0.012569257989525795,0.3478856431930636,5.474832806726923
IER5L_ZBTB1,IER5L,ZBTB1,0.49317786,0.7142857142857143,0.012863799929618835,0.3477959235201184,5.473420847887977
IKZF3_MAML2,IKZF3,MAML2,0.6133877,0.5714285714285714,0.008420709520578384,0.34758038590414714,5.470028835500882
DLX2_IKZF3,DLX2,IKZF3,0.6128727,0.5714285714285714,0.010757786221802235,0.346485565084571,5.452799147936062
MAPK1_PRDM1,MAPK1,PRDM1,0.48746982,0.7142857142857143,0.005232933908700943,0.3463801457104611,5.4511401158399275
IKZF3_SLC4A1,IKZF3,SLC4A1,0.6128715,0.5714285714285714,0.011227944865822792,0.34632379702799804,5.450253331284713
HOXC13_PRDM1,HOXC13,PRDM1,0.48688075,0.7142857142857143,0.004944098647683859,0.34606100416019764,5.446117641749491
CNN1_KLF1,CNN1,KLF1,0.49130726,0.7142857142857143,0.014382600784301758,0.3459579806236589,5.444496314026592
ARID1A_IKZF3,ARID1A,IKZF3,0.6174796,0.5714285714285714,0.020055508241057396,0.3459081350407804,5.4437118716739015
MAP7D1_PRDM1,MAP7D1,PRDM1,0.48645473,0.7142857142857143,0.0050195371732115746,0.34573224504793465,5.440943811760971
IKZF3_IRF1,IKZF3,IRF1,0.609276,0.5714285714285714,0.008134771138429642,0.3453483823380973,5.434902791678028
IKZF3_ZC3HAV1,IKZF3,ZC3HAV1,0.6103426,0.5714285714285714,0.011073967441916466,0.3449472775383815,5.428590425073118
CLDN6_DUSP9,CLDN6,DUSP9,0.6121414,0.5714285714285714,0.014325512573122978,0.34485484657284143,5.427135797403372
PRDM1_SLC4A1,PRDM1,SLC4A1,0.48688626,0.7142857142857143,0.008939994499087334,0.344694336593896,5.4246097796853885
PRDM1_S1PR2,PRDM1,S1PR2,0.6129083,0.5714285714285714,0.01673601195216179,0.34446829098641935,5.421052398310662
IKZF3_PLK4,IKZF3,PLK4,0.6060961,0.5714285714285714,0.007385285571217537,0.3438015495971187,5.410559589242022
PRDM1_ZC3HAV1,PRDM1,ZC3HAV1,0.48701733,0.7142857142857143,0.011969884857535362,0.34375481833921223,5.409824158421889
HNF4A_IKZF3,HNF4A,IKZF3,0.6106336,0.5714285714285714,0.0178259015083313,0.342822374505261,5.395149870498736
KLF1_ZBTB1,KLF1,ZBTB1,0.4842395,0.7142857142857143,0.014432262629270554,0.3409644605298874,5.3659110427877375
